NSE/EXCELINFO,Excel Infoways Limited
NSE/TAKSHEEL,Taksheel Solutions Limited
NSE/CHETTINAD,Chettinad Cement Corporation Limited
NSE/GRABALALK,Grabal Alok Impex Limited
NSE/SHRINATRAJ,Shri Nataraj Ceramic and Chemical Industries Limited
NSE/NUCHEM,Nuchem Limited
NSE/TULIP,Tulip Telecom Limited
NSE/SPCNXDEFTY,National Stock Exchange of India Stock Index - S&P CNX DEFTY
NSE/RANKLIN,Ranklin Solutions Limited
NSE/NRC,NRC Limited
NSE/A2ZMES,A2Z Maintenance & Engineering Services Limited
NSE/APLAB,Aplab Limited
NSE/HYDROSS,Hydro S & S Industries Limited
NSE/CNX200,National Stock Exchange of India Stock Index - CNX 200
NSE/UTISUNDER,Nifty
NSE/SPCNX500SHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/AVANTI,Avanti Feeds Limited
NSE/CNXHIGHBETA,National Stock Exchange of India Stock Index - CNX HIGH BETA
NSE/CASTROL,Castrol India Limited
NSE/VTMLTD,VTM Limited
NSE/MAHINDUGIN,Mahindra Ugine Steel Company Limited
NSE/CNXALPHAINDEX,National Stock Exchange of India Stock Index - CNX ALPHA INDEX
NSE/POLARIND,Polar Industries Limited
NSE/JEYPORE,The Jeypore Sugar Company Limited
NSE/INFODRIVE,Info-Drive Software Limited
NSE/CNXLOWVOLATILITY,National Stock Exchange of India Stock Index - CNX LOW VOLATILITY
NSE/RBN,Reliance Broadcast Network Limited
NSE/NUCENT,Nucent Finance Limited
NSE/PRITHVISOF,Prithvi Softech Limited
NSE/PEACOCKIND,Peacock Industries Limited
NSE/JINDALSWHL,Jindal South West Holdings Limited
NSE/CNXMIDCAP200,National Stock Exchange of India Stock Index - CNX MIDCAP 200
NSE/CNXSERVICE,National Stock Exchange of India Stock Index - CNX SERVICE
NSE/LLOYDSTEEL,Lloyds Steel Industries Limited
NSE/LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited
NSE/CRESTANI,Crest Animation Studios Limited
NSE/CNXNIFTYJUNIOR,National Stock Exchange of India Stock Index - CNX NIFTY JUNIOR
NSE/IBIPL,Indiabulls Infrastructure and Power Limited
NSE/IBPOW,Indiabulls Power Limited
NSE/AQUA,Aqua Logistics Limited
NSE/CNXCOMMODITIES,National Stock Exchange of India Stock Index - CNX COMMODITIES
NSE/CNXMNC,National Stock Exchange of India Stock Index - CNX MNC
NSE/TTKHEALTH,TTK Healthcare Limited
NSE/SURANAVEL,Surana Ventures Limited
NSE/GUJSIDHCEM,Gujarat Sidhee Cements Limited
NSE/SUPER,Super Sales India Limited
NSE/SPCNXSHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/CNXIT,National Stock Exchange of India Stock Index - CNX IT
NSE/SPESGINDIAINDEX,National Stock Exchange of India Stock Index - S&P ESG INDIA INDEX
NSE/CNX,National Stock Exchange of India Stock Index - CNX 200
NSE/CNXBANK,National Stock Exchange of India Stock Index - CNX BANK
NSE/SOUISPAT,Southern Ispat And Energy Limited
NSE/KANDAGIRI,Kandagiri Spinning Mills Limited
NSE/PANASONIC,Panasonic Appliances India Company Limited
NSE/MARG,Marg Limited
NSE/TWILITAKA,Twilight Litaka Pharma Limited
NSE/LOGIXMICRO,Logix Microsystems Limited
NSE/KBIL,Kirloskar Brothers Investments Limited
NSE/NIFTY_METAL,National Stock Exchange of India (NSE) Stock Index - Nifty Metal
NSE/SASKEN,Sasken Communication Technologies Limited
NSE/TIDEWATER,Tide Water Oil Company (India) Limited
NSE/COMPUAGE,Compuage Infocom Limited
NSE/SABERORGAN,Sabero Organics Gujarat Limited
NSE/NIFTY500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - Nifty500 Shariah
NSE/CNX_HIGH_BETA,National Stock Exchange of India (NSE) Stock Index - CNX High Beta
NSE/NIFTY_HIGH_BETA_50,National Stock Exchange of India (NSE) Stock Index - Nifty High Beta 50
NSE/CNX_REALTY,National Stock Exchange of India (NSE) Stock Index - CNX Realty
NSE/NIFTY_CPSE,National Stock Exchange of India (NSE) Stock Index - Nifty CPSE
NSE/NI15,National Stock Exchange of India (NSE) Stock Index - NI15
NSE/PARAGMILK,Parag Milk Foods Limited
NSE/KEMROCK,Kemrock Industries and Exports Limited
NSE/WINSOMEDJ,Winsome Diamonds and Jewellery Limited
NSE/DELTAMAGNT,Delta Magnets Limited
NSE/DYNATECH,Dynacons Technologies Limited
NSE/INTEGRA,Integra Garments and Textiles Limited
NSE/BEARDSELL,Beardsell Limited
NSE/FRLDVR,Future Enterprises Limited
NSE/RAINBOWPAP,Rainbow Papers Limited
NSE/VISESHINFO,Visesh Infotecnics Limited
NSE/FRL,FUTURE ENTERPRISES LIMITED
NSE/ADHUNIKIND,Adhunik Industries Limited
NSE/GOLDIWIN,ICICI Prudential Gold Exchange Traded Fund
NSE/HEIDELBERG,HeidelbergCement India Limited
NSE/INDSWFTLTD,Ind-Swift Limited
NSE/MM,Mahindra & Mahindra Limited
NSE/RAIN,Rain Industries Limited
NSE/ADVANIHOTR,Advani Hotels & Resorts (India) Limited
NSE/BLUEBLENDS,Blue Blends (I) Limited
NSE/HDFCNIFETF,HDFCAMC - HDFCNIFETF
NSE/JCHAC,Johnson Controls Hitachi Air Conditioning India Limited
NSE/KELLTONTEC,Kellton Tech Solutions Limited
NSE/MERCK,Merck Limited
NSE/SHARDACROP,Sharda Cropchem Limited
NSE/SUVEN,Suven Life Sciences Limited
NSE/TOKYOPLAST,Tokyo Plast International Limited
NSE/WELENTRP,Welspun Enterprises Limited
NSE/CNX_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - CNX Commodities
NSE/NIFTY_GROWSECT_15,National Stock Exchange of India (NSE) Stock Index - Nifty Growth Sectors 15
NSE/NIFTY_REALTY,National Stock Exchange of India (NSE) Stock Index - Nifty Realty
NSE/NIFTY100_LIQ_15,National Stock Exchange of India (NSE) Stock Index - Nifty100 LIQ 15
NSE/ABBOTINDIA,Abbott India Limited
NSE/AEGISCHEM,Aegis Logistics Limited
NSE/AUTOAXLES,Automotive Axles Limited
NSE/AXISBANK,Axis Bank Limited
NSE/BASML,Bannari Amman Spinning Mills Limited
NSE/BHARATIDIL,Bharati Defence and Infrastructure Limited
NSE/BROOKS,Brooks Laboratories Limited
NSE/CHENNPETRO,Chennai Petroleum Corporation Limited
NSE/HANUNG,Hanung Toys and Textiles Limited
NSE/ILFSTRANS,IL&FS Transportation Networks Limited
NSE/INDSWFTLAB,Ind-Swift Laboratories Limited
NSE/METALFORGE,Metalyst Forgings Limited
NSE/MOHITIND,Mohit Industries Limited
NSE/MONSANTO,Monsanto India Limited
NSE/MUNJALSHOW,Munjal Showa Limited
NSE/NIBL,NRB Industrial Bearings Limited
NSE/ONMOBILE,OnMobile Global Limited
NSE/PNB,Punjab National Bank
NSE/PRESTIGE,Prestige Estates Projects Limited
NSE/RELAXO,Relaxo Footwears Limited
NSE/SARLAPOLY,Sarla Performance Fibers Limited
NSE/SHK,S H Kelkar and Company Limited
NSE/SUMEETINDS,Sumeet Industries Limited
NSE/TNPETRO,Tamilnadu PetroProducts Limited
NSE/SUDAR,Sudar Industries Limited
NSE/AIFL,Ashapura Intimates Fashion Limited
NSE/HCG,Healthcare Global Enterprises Limited
NSE/HDFCSENETF,HDFCAMC - HDFCSENETF
NSE/QUESS,Quess Corp Limited
NSE/DIGJAM,Digjam Limited
NSE/PIPAVAVDOC,Pipavav Defence and Offshore Engineering Company Limited
NSE/STYABS,Styrolution ABS (India) Limited
NSE/KIL,Kamdhenu Ispat Limited
NSE/MANJUSHREE,Manjushree Technopack Limited
NSE/ASAHIINDIA,Asahi India Glass Limited
NSE/AVANTIFEED,Avanti Feeds Limited
NSE/BHARTIARTL,Bharti Airtel Limited
NSE/EVERESTIND,Everest Industries Limited
NSE/GALLANTT,Gallantt Metal Limited
NSE/GOODLUCK,Goodluck India Limited
NSE/IDBI,IDBI Bank Limited
NSE/INDLMETER,IMP Powers Limited
NSE/IOB,Indian Overseas Bank
NSE/JSL,Jindal Stainless Limited
NSE/LAXMIMACH,Lakshmi Machine Works Limited
NSE/LYCOS,Lycos Internet Limited
NSE/MANDHANA,Mandhana Industries Limited
NSE/MBLINFRA,MBL Infrastructures Limited
NSE/MIRZAINT,Mirza International Limited
NSE/NILKAMAL,Nilkamal Limited
NSE/PRAKASH,Prakash Industries Limited
NSE/RADICO,Radico Khaitan Limited
NSE/SAMBHAAV,Sambhaav Media Limited
NSE/SHRIRAMCIT,Shriram City Union Finance Limited
NSE/SUPERSPIN,Super Spinning Mills Limited
NSE/THYROCARE,Thyrocare Technologies Limited
NSE/TRIGYN,Trigyn Technologies Limited
NSE/UJJIVAN,UJJIVAN FINANCIAL SERVICES LIMITED
NSE/VARDMNPOLY,Vardhman Polytex Limited
NSE/WIPRO,Wipro Limited
NSE/SAHPETRO,Sah Petroleums Limited
NSE/ASHIMASYN,Ashima Limited
NSE/FIEMIND,Fiem Industries Limited
NSE/LTI,Larsen & Toubro Infotech Limited
NSE/NECLIFE,Nectar Lifesciences Limited
NSE/SRSLTD,SRS Limited
NSE/TATAGLOBAL,Tata Global Beverages Limited
NSE/KRISHNAENG,Krishna Engineering Works Limited
NSE/MIDCAPIWIN,ICICI Prudential Midcap Select ETF
NSE/TI,Tilaknagar Industries Limited
NSE/CHESLINTEX,Cheslind Textiles Limited
NSE/GLODYNE,Glodyne Technoserve Limited
NSE/ADVANTA,Advanta Limited
NSE/CNX_IT,National Stock Exchange of India (NSE) Stock Index - CNX IT
NSE/UTTAMVALUE,Uttam Value Steels Limited
NSE/SPECIALITY,Speciality Restaurants Limited
NSE/SUPREMEIND,Supreme Industries Limited
NSE/SPICEMOBI,Spice Mobility Limited
NSE/SPLIL,SPL Industries Limited
NSE/SPENTEX,Spentex Industries Limited
NSE/UNITECH,Unitech Limited
NSE/SPARC,Sun Pharma Advanced Research Company Limited
NSE/SPYL,Shekhawati Poly-Yarn Limited
NSE/SRTRANSFIN,Shriram Transport Finance Company Limited
NSE/SREINFRA,SREI Infrastructure Finance Limited
NSE/SRIPIPES,Srikalahasthi Pipes Limited
NSE/UMANGDAIRY,Umang Dairies Limited
NSE/SPMLINFRA,SPML Infra Limited
NSE/SUNILHITEC,Sunil Hitech Engineers Limited
NSE/SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited
NSE/STEL,Stel Holdings Limited
NSE/STOREONE,Store One Retail India Limited
NSE/SURANASOL,SURANA SOLAR LIMITED
NSE/STRTECH,Sterlite Technologies Limited
NSE/TIMESGTY,Times Guaranty Limited
NSE/STERTOOLS,Sterling Tools Limited
NSE/TFL,Transwarranty Finance Limited
NSE/SUNDARAM,Sundaram Multi Pap Limited
NSE/TAJGVK,Taj GVK Hotels & Resorts Limited
NSE/TPLPLASTEH,TPL Plastech Limited
NSE/SUNDARMFIN,Sundaram Finance Limited
NSE/TAKE,Take Solutions Limited
NSE/SUNDRMBRAK,Sundaram Brake Linings Limited
NSE/SUNTV,Sun TV Network Limited
NSE/TBZ,Tribhovandas Bhimji Zaveri Limited
NSE/SUPPETRO,Supreme Petrochem Limited
NSE/UNITEDTEA,The United Nilgiri Tea Estates Company Limited
NSE/SURANAIND,Surana Industries Limited
NSE/SUPREMETEX,Supreme Tex Mart Limited
NSE/SWELECTES,Swelect Energy Systems Limited
NSE/TALWALKARS,Talwalkars Better Value Fitness Limited
NSE/TANTIACONS,Tantia Constructions Limited
NSE/TGBHOTELS,TGB BANQUETS AND HOTELS LIMITED
NSE/TATACOMM,Tata Communications Limited
NSE/TECHM,Tech Mahindra Limited
NSE/TATAINVEST,Tata Investment Corporation Limited
NSE/TATAELXSI,Tata Elxsi Limited
NSE/TATASTEEL,Tata Steel Limited
NSE/TCIDEVELOP,TCI Developers Limited
NSE/TIMKEN,Timken India Limited
NSE/TFCILTD,Tourism Finance Corporation of India Limited
NSE/TEXRAIL,Texmaco Rail & Engineering Limited
NSE/UCALFUEL,Ucal Fuel Systems Limited
NSE/THOMASCOOK,Thomas Cook (India) Limited
NSE/TINPLATE,The Tinplate Company of India Limited
NSE/TIL,TIL Limited
NSE/TITAN,Titan Company Limited
NSE/TRENT,Trent Limited
NSE/TORNTPOWER,Torrent Power Limited
NSE/TREEHOUSE,Tree House Education & Accessories Limited
NSE/TRIDENT,Trident Limited
NSE/TRIL,Transformers And Rectifiers (India) Limited
NSE/TUBEINVEST,Tube Investments of India Limited
NSE/TVSSRICHAK,TVS Srichakra Limited
NSE/UPERGANGES,Upper Ganges Sugar & Industries Limited
NSE/TVSELECT,TVS Electronics Limited
NSE/UPL,UPL Limited
NSE/TWL,Titagarh Wagons Limited
NSE/UFLEX,UFLEX Limited
NSE/UGARSUGAR,The Ugar Sugar Works Limited
NSE/UJAAS,Ujaas Energy Limited
NSE/VOLTAMP,Voltamp Transformers Limited
NSE/ULTRACEMCO,UltraTech Cement Limited
NSE/ZEEL,Zee Entertainment Enterprises Limited
NSE/USHAMART,Usha Martin Limited
NSE/VHL,Vardhman Holdings Limited
NSE/WABAG,VA Tech Wabag Limited
NSE/ZENITHEXPO,Zenith Exports Limited
NSE/UNIONBANK,Union Bank of India
NSE/WEIZMANIND,Weizmann Limited
NSE/UNICHEMLAB,Unichem Laboratories Limited
NSE/USHERAGRO,Usher Agro Limited
NSE/VALUEIND,Value Industries Limited
NSE/WONDERLA,Wonderla Holidays Limited
NSE/VADILALIND,Vadilal Industries Limited
NSE/YESBANK,Yes Bank Limited
NSE/VGUARD,V-Guard Industries Limited
NSE/VSTIND,VST Industries Limited
NSE/VIJAYABANK,Vijaya Bank
NSE/WEBELSOLAR,Websol Energy System Limited
NSE/VIPIND,VIP Industries Limited
NSE/VIMTALABS,Vimta Labs Limited
NSE/VIJSHAN,Vijay Shanthi Builders Limited
NSE/VIMALOIL,Vimal Oil & Foods Limited
NSE/VIVIMEDLAB,Vivimed Labs Limited
NSE/VSTTILLERS,V.S.T Tillers Tractors Limited
NSE/WALCHANNAG,Walchandnagar Industries Limited
NSE/WABCOINDIA,WABCO India Limited
NSE/WHEELS,Wheels India Limited
NSE/WENDT,Wendt (India) Limited
NSE/ZYDUSWELL,Zydus Wellness Limited
NSE/WINDMACHIN,Windsor Machines Limited
NSE/WELSPUNIND,Welspun India Limited
NSE/WOCKPHARMA,Wockhardt Limited
NSE/WSI,W S Industries (I) Limited
NSE/XPROINDIA,Xpro India Limited
NSE/WSTCSTPAPR,West Coast Paper Mills Limited
NSE/ZICOM,Zicom Electronic Security Systems Limited
NSE/ZODIACLOTH,Zodiac Clothing Company Limited
NSE/ZYLOG,Zylog Systems Limited
NSE/ZUARIGLOB,ZUARI GLOBAL LIMITED
NSE/ZENTEC,Zen Technologies Limited
NSE/RELIGAREGO,Religare Invesco Gold Exchange Traded Fund
NSE/NIFTY_FIN_SERVICE,National Stock Exchange of India (NSE) Stock Index - Nifty Financial Services
NSE/AJMERA,Ajmera Realty & Infra India Limited
NSE/BLUECOAST,Blue Coast Hotels Limited
NSE/ASTEC,Astec LifeSciences Limited
NSE/ABGSHIP,ABG Shipyard Limited
NSE/20MICRONS,20 Microns Limited
NSE/3IINFOTECH,3i Infotech Limited
NSE/AFL,Accel Frontline Limited
NSE/AGCNET,AGC Networks Limited
NSE/AHLWEST,Asian Hotels (West) Limited
NSE/AKSHOPTFBR,Aksh Optifibre Limited
NSE/ALANKIT,Alankit Limited
NSE/ASHOKA,Ashoka Buildcon Limited
NSE/AMBIKCO,Ambika Cotton Mills Limited
NSE/AMTEKAUTO,Amtek Auto Limited
NSE/ARVIND,Arvind Limited
NSE/AMDIND,AMD Industries Limited
NSE/ANSALHSG,Ansal Housing and Construction Limited
NSE/APARINDS,Apar Industries Limited
NSE/AUSTRAL,Austral Coke & Projects Limited
NSE/ARCHIDPLY,Archidply Industries Limited
NSE/APCOTEXIND,Apcotex Industries Limited
NSE/ASSAMCO,Assam Company India Limited
NSE/APOLLOTYRE,Apollo Tyres Limited
NSE/BAJAJELEC,Bajaj Electricals Limited
NSE/ARIHANT,Arihant Foundations & Housing Limited
NSE/ARIES,Aries Agro Limited
NSE/BALAMINES,Balaji Amines Limited
NSE/ANKITMETAL,Ankit Metal & Power Limited
NSE/ASAHISONG,Asahi Songwon Colors Limited
NSE/ASAL,Automotive Stampings and Assemblies Limited
NSE/ARSSINFRA,ARSS Infrastructure Projects Limited
NSE/ASIANHOTNR,Asian Hotels (North) Limited
NSE/ASHAPURMIN,Ashapura Minechem Limited
NSE/AURIONPRO,Aurionpro Solutions Limited
NSE/BHAGERIA,Bhageria Industries Limited
NSE/ATLANTA,Atlanta Limited
NSE/AUSOMENT,Ausom Enterprise Limited
NSE/BHAGYNAGAR,Bhagyanagar India Limited
NSE/AUROPHARMA,Aurobindo Pharma Limited
NSE/AUTOLITIND,Autolite (India) Limited
NSE/BANARBEADS,Banaras Beads Limited
NSE/ATUL,Atul Limited
NSE/AXISCADES,AXISCADES Engineering Technologies Limited
NSE/BAJAJHLDNG,Bajaj Holdings & Investment Limited
NSE/BAJAJHIND,Bajaj Hindusthan Sugar Limited
NSE/DISHMAN,Dishman Pharmaceuticals and Chemicals Limited
NSE/BANCOINDIA,Banco Products (I) Limited
NSE/BALPHARMA,Bal Pharma Limited
NSE/BANKBEES,Goldman Sachs Banking Index Exchange Traded Scheme
NSE/BBL,Bharat Bijlee Limited
NSE/BEL,Bharat Electronics Limited
NSE/BHARATGEAR,Bharat Gears Limited
NSE/BHARATWIRE,Bharat Wire Ropes Limited
NSE/BFUTILITIE,BF Utilities Limited
NSE/BINDALAGRO,Oswal Chemicals & Fertilizers Limited
NSE/BHEL,Bharat Heavy Electricals Limited
NSE/BGRENERGY,BGR Energy Systems Limited
NSE/BLISSGVS,Bliss GVS Pharma Limited
NSE/BODALCHEM,Bodal Chemicals Limited
NSE/BRITANNIA,Britannia Industries Limited
NSE/BRFL,Bombay Rayon Fashions Limited
NSE/BOSCHLTD,Bosch Limited
NSE/BPCL,Bharat Petroleum Corporation Limited
NSE/BSLNIFTY,Birla Sun Life Mutual Fund - Birla Sun Life Nifty ETF - Growth
NSE/BRIGADE,Brigade Enterprises Limited
NSE/DELTACORP,Delta Corp Limited
NSE/BURNPUR,Burnpur Cement Limited
NSE/BVCL,Barak Valley Cements Limited
NSE/CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
NSE/EXCELINDUS,Excel Industries Limited
NSE/CADILAHC,Cadila Healthcare Limited
NSE/CANDC,C & C Constructions Limited
NSE/CCHHL,Country Club Hospitality & Holidays Limited
NSE/CINEVISTA,Cinevista Limited
NSE/CENTRALBK,Central Bank of India
NSE/CHROMATIC,Chromatic India Limited
NSE/CIPLA,Cipla Limited
NSE/CLNINDIA,Clariant Chemicals (India) Limited
NSE/EIHOTEL,EIH Limited
NSE/CONSOFINVT,Consolidated Finvest & Holdings Limited
NSE/CONTROLPR,Control Print Limited
NSE/EMKAY,Emkay Global Financial Services Limited
NSE/CREST,Crest Ventures Limited
NSE/DREDGECORP,Dredging Corporation of India Limited
NSE/COROMANDEL,Coromandel International Limited
NSE/CUB,City Union Bank Limited
NSE/CROMPGREAV,Crompton Greaves Limited
NSE/DBSTOCKBRO,DB (International) Stock Brokers Limited
NSE/DEEPIND,Deep Industries Limited
NSE/DENORA,De Nora India Limited
NSE/DEN,Den Networks Limited
NSE/DHUNINV,Dhunseri Investments Limited
NSE/DEEPAKNTR,Deepak Nitrite Limited
NSE/ENDURANCE,Endurance Technologies Limited
NSE/DICIND,DIC India Limited
NSE/DHANUKA,Dhanuka Agritech Limited
NSE/EQ30,EDELAMC - EQ30
NSE/DHAMPURSUG,Dhampur Sugar Mills Limited
NSE/DLF,DLF Limited
NSE/GODREJPROP,Godrej Properties Limited
NSE/DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited
NSE/DUCON,Ducon Infratechnologies Limited
NSE/DTIL,Dhunseri Tea & Industries Limited
NSE/DYNAMATECH,Dynamatic Technologies Limited
NSE/EASTSILK,Eastern Silk Industries Limited
NSE/EASUNREYRL,Easun Reyrolle Limited
NSE/ECEIND,ECE Industries Limited
NSE/GOKUL,Gokul Refoils and Solvent Limited
NSE/ECLERX,eClerx Services Limited
NSE/EIHAHOTELS,EIH Associated Hotels Limited
NSE/ELAND,E-Land Apparel Limited
NSE/ELGIEQUIP,Elgi Equipments Limited
NSE/FACT,Fertilizers and Chemicals Travancore Limited
NSE/EMCO,Emco Limited
NSE/GREAVESCOT,Greaves Cotton Limited
NSE/ESCORTS,Escorts Limited
NSE/ESTER,Ester Industries Limited
NSE/EROSMEDIA,Eros International Media Limited
NSE/EUROCERA,Euro Ceramics Limited
NSE/FMGOETZE,Federal-Mogul Goetze (India) Limited.
NSE/ESSARSHPNG,Essar Shipping Limited
NSE/EVEREADY,Eveready Industries India Limited
NSE/EXCELCROP,Excel Crop Care Limited
NSE/EUROTEXIND,Eurotex Industries and Exports Limited
NSE/FDC,FDC Limited
NSE/GLAXO,GlaxoSmithKline Pharmaceuticals Limited
NSE/ENERGYDEV,Energy Development Company Limited
NSE/FINPIPE,Finolex Industries Limited
NSE/FINCABLES,Finolex Cables Limited
NSE/FIRSTWIN,First Winner Industries Limited
NSE/FINANTECH,Financial Technologies (India) Limited
NSE/GAIL,GAIL (India) Limited
NSE/GINNIFILA,Ginni Filaments Limited
NSE/FOSECOIND,Foseco India Limited
NSE/FSL,Firstsource Solutions Limited
NSE/GAMMNINFRA,Gammon Infrastructure Projects Limited
NSE/IFBIND,IFB Industries Limited
NSE/GANECOS,Ganesha Ecosphere Limited
NSE/GAYAPROJ,Gayatri Projects Limited
NSE/GEECEE,GeeCee Ventures Limited
NSE/GEMINI,Gemini Communication Limited
NSE/GOACARBON,Goa Carbon Limited
NSE/GDL,Gateway Distriparks Limited
NSE/GEOMETRIC,Geometric Limited
NSE/GENESYS,Genesys International Corporation Limited
NSE/GICHSGFIN,GIC Housing Finance Limited
NSE/GKWLIMITED,GKW Limited
NSE/GILLETTE,Gillette India Limited
NSE/HERITGFOOD,Heritage Foods Limited
NSE/HNGSNGBEES,Goldman Sachs Hang Seng Exchange Traded Scheme
NSE/GLOBOFFS,Global Offshore Services Limited
NSE/GULPOLY,Gulshan Polyols Limited
NSE/GNA,GNA Axles Limited
NSE/GLOBUSSPR,Globus Spirits Limited
NSE/GVKPIL,GVK Power & Infrastructure Limited
NSE/INDRAMEDCO,Indraprastha Medical Corporation Limited
NSE/GODFRYPHLP,Godfrey Phillips India Limited
NSE/HARRMALAYA,Harrisons Malayalam Limited
NSE/GODREJIND,Godrej Industries Limited
NSE/GODREJCP,Godrej Consumer Products Limited
NSE/GSCLCEMENT,Gujarat Sidhee Cement Limited
NSE/GREENFIRE,Green Fire Agri Commodities Limited
NSE/GRASIM,Grasim Industries Limited
NSE/HINDMOTORS,Hindustan Motors Limited
NSE/GSPL,Gujarat State Petronet Limited
NSE/GUJALKALI,Gujarat Alkalies and Chemicals Limited
NSE/GTNTEX,GTN Textiles Limited
NSE/GTOFFSHORE,GOL Offshore Limited
NSE/GUJAPOLLO,Gujarat Apollo Industries Limited
NSE/GUJGASLTD,Gujarat Gas Limited
NSE/HONAUT,Honeywell Automation India Limited
NSE/HAVELLS,Havells India Limited
NSE/HBLPOWER,HBL Power Systems Limited
NSE/HATSUN,Hatsun Agro Product Limited
NSE/HBSTOCK,HB Stockholdings Limited
NSE/HDFCBANK,HDFC Bank Limited
NSE/HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
NSE/HEXAWARE,Hexaware Technologies Limited
NSE/HIRECT,Hind Rectifiers Limited
NSE/HDFC,Housing Development Finance Corporation Limited
NSE/HIKAL,Hikal Limited
NSE/HGS,Hinduja Global Solutions Limited
NSE/HIMATSEIDE,Himatsingka Seide Limited
NSE/INDBANK,Indbank Merchant Banking Services Limited
NSE/HINDALCO,Hindalco Industries Limited
NSE/HINDSYNTEX,Hind Syntex Limited
NSE/INDHOTEL,The Indian Hotels Company Limited
NSE/HINDPETRO,Hindustan Petroleum Corporation Limited
NSE/ICSA,ICSA (India) Limited
NSE/HINDNATGLS,Hindusthan National Glass & Industries Limited
NSE/ICIL,Indo Count Industries Limited
NSE/INDIAGLYCO,India Glycols Limited
NSE/HOCL,Hindustan Organic Chemicals Limited
NSE/HITECHPLAS,Hitech Plast Limited
NSE/HPL,HPL Electric & Power Limited
NSE/HTMEDIA,HT Media Limited
NSE/IBULHSGFIN,Indiabulls Housing Finance Limited
NSE/INDOSOLAR,Indosolar Limited
NSE/ICRA,ICRA Limited
NSE/IFCI,IFCI Limited
NSE/IVC,IL&FS Investment Managers Limited
NSE/JISLDVREQS,Jain Irrigation Systems Limited
NSE/ILFSENGG,IL&FS Engineering and Construction Company Limited
NSE/IIFL,IIFL Holdings Limited
NSE/IMPEXFERRO,Impex Ferro Tech Limited
NSE/INDIACEM,The India Cements Limited
NSE/INDIANCARD,Indian Card Clothing Company Limited
NSE/IGPL,IG Petrochemicals Limited
NSE/INDIANHUME,Indian Hume Pipe Company Limited
NSE/INSECTICID,Insecticides (India) Limited
NSE/IGL,Indraprastha Gas Limited
NSE/INDOTECH,Indo Tech Transformers Limited
NSE/INDOTHAI,Indo Thai Securities Limited
NSE/INDIANB,Indian Bank
NSE/INDNIPPON,India Nippon Electricals Limited
NSE/INOXLEISUR,INOX Leisure Limited
NSE/INFRABEES,Goldman Sachs Infrastructure Exchange Traded Scheme
NSE/IPCALAB,IPCA Laboratories Limited
NSE/IOLCP,IOL Chemicals and Pharmaceuticals Limited
NSE/ITC,ITC Limited
NSE/JUBLFOOD,Jubilant Foodworks Limited
NSE/KOHINOOR,Kohinoor Foods Limited
NSE/IVRCLINFRA,IVRCL Limited
NSE/INFY,Infosys Limited
NSE/ISMTLTD,ISMT Limited
NSE/JAICORPLTD,Jai Corp Limited
NSE/ISFT,Intrasoft Technologies Limited
NSE/JAIBALAJI,Jai Balaji Industries Limited
NSE/JAGRAN,Jagran Prakashan Limited
NSE/JBFIND,JBF Industries Limited
NSE/JAYAGROGN,Jayant Agro Organics Limited
NSE/JHS,JHS Svendgaard Laboratories Limited
NSE/JPPOWER,Jaiprakash Power Ventures Limited
NSE/JENSONICOL,Jenson & Nicholson (India) Limited
NSE/IVZINNIFTY,Invesco India Nifty Exchange Traded Fund
NSE/JINDALSTEL,Jindal Steel & Power Limited
NSE/JSWSTEEL,JSW Steel Limited
NSE/JBMA,JBM Auto Limited
NSE/JINDRILL,Jindal Drilling And Industries Limited
NSE/JINDCOT,Jindal Cotex Limited
NSE/LITL,Lanco Infratech Limited
NSE/MOREPENLAB,Morepen Laboratories Limited
NSE/JKCEMENT,JK Cement Limited
NSE/JKBANK,The Jammu & Kashmir Bank Limited
NSE/JINDWORLD,Jindal Worldwide Limited
NSE/JINDALSAW,Jindal Saw Limited
NSE/MHRIL,Mahindra Holidays & Resorts India Limited
NSE/JKLAKSHMI,JK Lakshmi Cement Limited
NSE/JMA,Jullundur Motor Agency (Delhi) Limited
NSE/KIRLOSIND,Kirloskar Industries Limited
NSE/JKTYRE,JK Tyre & Industries Limited
NSE/JMTAUTOLTD,JMT Auto Limited
NSE/KDDL,KDDL Limited
NSE/JPINFRATEC,Jaypee Infratech Limited
NSE/JSWHL,JSW Holdings Limited
NSE/JSWENERGY,JSW Energy Limited
NSE/JYOTHYLAB,Jyothy Laboratories Limited
NSE/KGL,Karuturi Global Limited
NSE/JUNIORBEES,Goldman Sachs Nifty Junior Exchange Traded Scheme
NSE/KANSAINER,Kansai Nerolac Paints Limited
NSE/KANANIIND,Kanani Industries Limited
NSE/KAVVERITEL,Kavveri Telecom Products Limited
NSE/KEI,KEI Industries Limited
NSE/KHANDSE,Khandwala Securities Limited
